date,centre_id,nb_colis_entree,nb_colis_sortie,volume_moyen,temperature_max,temperature_min,precipitation,windspeed_max,is_holiday,day_of_week,month,day_of_month,is_weekend
2023-01-23,1,1027,912,2.5,3.7,0.5,0.0,22.6,0,0,1,23,0
2023-01-24,1,976,893,2.18,3.6,-1.1,0.0,19.7,0,1,1,24,0
2023-01-25,1,1029,972,1.61,2.6,0.8,0.0,13.2,0,2,1,25,0
2023-01-26,1,1029,910,0.97,4.7,0.3,0.6,17.7,0,3,1,26,0
2023-01-27,1,974,891,1.68,4.7,3.3,0.3,22.4,0,4,1,27,0
2023-01-28,1,758,714,2.42,3.7,-1.2,0.0,20.2,0,5,1,28,1
2023-01-29,1,702,615,1.56,4.9,-3.3,0.0,13.3,0,6,1,29,1
2023-01-30,1,943,854,2.29,9.0,3.3,0.0,20.2,0,0,1,30,0
2023-01-31,1,955,860,1.48,8.2,0.6,0.0,20.5,0,1,1,31,0
2023-02-01,1,991,901,1.08,9.8,6.1,0.0,24.8,0,2,2,1,0
2023-02-02,1,965,899,1.72,10.6,4.7,0.0,24.4,0,3,2,2,0
2023-02-03,1,944,851,1.72,10.2,6.8,0.0,21.1,0,4,2,3,0
2023-02-04,1,732,640,2.22,10.9,7.8,0.5,14.0,0,5,2,4,1
2023-02-05,1,631,559,2.53,9.4,4.2,0.1,23.1,0,6,2,5,1
2023-02-06,1,1018,915,1.59,7.0,0.5,0.0,15.7,0,0,2,6,0
2023-02-07,1,1018,902,2.23,6.3,-0.8,0.0,14.8,0,1,2,7,0
2023-02-08,1,1099,1030,1.67,6.0,-3.6,0.0,9.8,0,2,2,8,0
2023-02-09,1,1009,907,1.65,6.9,-5.0,0.0,9.8,0,3,2,9,0
2023-02-10,1,1007,948,1.51,9.6,-0.4,0.0,11.0,0,4,2,10,0
2023-02-11,1,659,589,0.8,8.8,-0.5,0.0,7.4,0,5,2,11,1
2023-02-12,1,767,661,2.74,9.3,5.9,0.0,15.3,0,6,2,12,1
2023-02-13,1,1026,873,1.72,11.9,-0.8,0.0,9.4,0,0,2,13,0
2023-02-14,1,1041,914,1.71,12.0,-0.1,0.0,10.4,0,1,2,14,0
2023-02-15,1,1009,881,2.17,12.9,-0.7,0.0,12.4,0,2,2,15,0
2023-02-16,1,999,919,1.73,11.6,3.9,1.3,17.7,0,3,2,16,0
2023-02-17,1,993,880,1.96,14.8,10.7,0.3,23.7,0,4,2,17,0
2023-02-18,1,620,577,1.93,12.5,9.3,0.1,23.9,0,5,2,18,1
2023-02-19,1,699,616,2.42,12.0,5.7,0.0,19.2,0,6,2,19,1
2023-02-20,1,968,872,2.38,12.1,2.6,0.0,10.3,0,0,2,20,0
2023-02-21,1,1045,929,2.01,14.0,0.8,0.0,8.6,0,1,2,21,0
2023-02-22,1,953,847,1.97,10.6,6.8,5.5,15.7,0,2,2,22,0
2023-02-23,1,953,873,2.27,10.1,5.5,0.1,15.8,0,3,2,23,0
2023-02-24,1,942,833,2.54,10.5,4.7,0.0,17.0,0,4,2,24,0
2023-02-25,1,661,603,1.68,7.9,1.6,0.0,22.9,0,5,2,25,1
2023-02-26,1,697,639,1.85,5.2,-0.9,0.0,31.9,0,6,2,26,1
2023-02-27,1,1019,930,2.5,6.5,-1.4,0.0,26.2,0,0,2,27,0
2023-02-28,1,1060,942,2.0,5.2,-2.3,0.0,21.0,0,1,2,28,0
2023-03-01,1,946,848,1.87,7.3,-2.3,0.0,19.5,0,2,3,1,0
2023-03-02,1,1021,947,1.45,9.4,-2.1,0.0,14.1,0,3,3,2,0
2023-03-03,1,941,863,2.18,9.2,-0.2,0.0,16.7,0,4,3,3,0
2023-03-04,1,726,653,2.34,6.8,-1.1,0.0,19.2,0,5,3,4,1
2023-03-05,1,642,584,2.1,7.3,3.0,0.3,8.0,0,6,3,5,1
2023-03-06,1,1015,930,2.18,7.7,1.9,0.6,17.3,0,0,3,6,0
2023-03-07,1,958,873,2.3,8.9,3.3,0.3,23.8,0,1,3,7,0
2023-03-08,1,998,917,2.35,14.1,5.5,18.0,32.9,0,2,3,8,0
2023-03-09,1,906,790,1.01,14.7,8.9,6.2,31.7,0,3,3,9,0
2023-03-10,1,998,870,1.75,11.1,4.7,1.9,42.6,0,4,3,10,0
2023-03-11,1,647,576,1.73,7.3,1.3,3.6,13.9,0,5,3,11,1
2023-03-12,1,637,570,2.27,14.2,6.6,4.1,24.1,0,6,3,12,1
2023-03-13,1,927,829,0.62,15.8,11.0,2.1,31.6,0,0,3,13,0
2023-03-14,1,987,872,2.09,10.6,3.8,5.4,36.8,0,1,3,14,0
2023-03-15,1,931,849,1.86,10.9,2.3,0.4,11.6,0,2,3,15,0
2023-03-16,1,999,926,1.52,15.9,5.0,0.0,18.5,0,3,3,16,0
2023-03-17,1,955,842,1.4,15.9,8.1,7.7,25.3,0,4,3,17,0
2023-03-18,1,774,709,1.15,15.2,8.8,5.1,23.3,0,5,3,18,1
2023-03-19,1,740,641,1.55,11.2,4.3,2.0,18.8,0,6,3,19,1
2023-03-20,1,989,871,2.69,13.3,2.0,0.0,11.8,0,0,3,20,0
2023-03-21,1,993,873,2.76,14.8,8.3,1.2,21.6,0,1,3,21,0
2023-03-22,1,1018,910,2.92,14.0,8.2,8.1,31.9,0,2,3,22,0
2023-03-23,1,998,886,2.29,15.9,11.2,1.3,29.5,0,3,3,23,0
2023-03-24,1,972,867,2.18,15.0,9.7,1.8,36.6,0,4,3,24,0
2023-03-25,1,721,643,1.94,13.7,8.5,0.2,35.4,0,5,3,25,1
2023-03-26,1,684,612,2.13,11.5,8.0,7.0,35.5,0,6,3,26,1
2023-03-27,1,910,782,1.93,9.7,3.7,0.1,21.0,0,0,3,27,0
2023-03-28,1,1009,918,2.44,11.2,3.2,0.6,19.7,0,1,3,28,0
2023-03-29,1,1044,916,1.53,19.6,9.1,0.5,22.2,0,2,3,29,0
2023-03-30,1,983,894,1.24,15.9,11.6,3.1,28.4,0,3,3,30,0
2023-03-31,1,1010,910,1.66,14.6,10.3,3.7,38.1,0,4,3,31,0
2023-04-01,1,673,577,2.36,13.4,9.2,2.6,33.2,0,5,4,1,1
2023-04-02,1,687,599,1.78,9.5,7.1,0.6,24.7,0,6,4,2,1
2023-04-03,1,923,809,1.92,11.8,3.7,0.0,20.5,0,0,4,3,0
2023-04-04,1,1018,920,1.7,10.8,0.8,0.0,16.4,0,1,4,4,0
2023-04-05,1,991,893,1.88,13.9,-0.4,0.0,8.1,0,2,4,5,0
2023-04-06,1,942,830,2.69,14.4,7.9,1.4,24.2,0,3,4,6,0
2023-04-07,1,910,823,1.43,14.1,5.4,0.4,14.4,0,4,4,7,0
2023-04-08,1,658,581,2.32,14.3,2.8,0.0,13.0,0,5,4,8,1
2023-04-09,1,715,654,2.08,17.3,2.8,0.0,11.5,0,6,4,9,1
2023-04-10,1,971,865,2.57,16.9,7.9,5.3,30.6,1,0,4,10,0
2023-04-11,1,924,822,1.0,13.2,7.8,5.8,22.5,0,1,4,11,0
2023-04-12,1,949,839,2.49,12.9,8.4,9.4,31.4,0,2,4,12,0
2023-04-13,1,959,866,2.47,11.9,5.9,5.1,30.2,0,3,4,13,0
2023-04-14,1,970,865,1.87,9.1,4.2,6.3,25.4,0,4,4,14,0
2023-04-15,1,596,526,1.22,12.7,7.0,11.5,25.1,0,5,4,15,1
2023-04-16,1,693,602,2.31,14.8,2.8,0.0,22.4,0,6,4,16,1
2023-04-17,1,970,862,2.39,12.5,3.5,0.1,21.4,0,0,4,17,0
2023-04-18,1,1064,968,1.38,15.3,6.1,2.7,22.4,0,1,4,18,0
2023-04-19,1,967,875,2.36,18.2,7.2,0.0,21.6,0,2,4,19,0
2023-04-20,1,910,816,0.85,12.2,5.3,0.2,22.9,0,3,4,20,0
2023-04-21,1,967,888,2.62,13.2,1.3,0.5,8.7,0,4,4,21,0
2023-04-22,1,628,571,2.16,17.2,5.0,7.1,21.4,0,5,4,22,1
2023-04-23,1,742,657,2.31,14.6,8.8,6.0,39.0,0,6,4,23,1
2023-04-24,1,905,797,1.19,14.2,6.9,5.2,22.4,0,0,4,24,0
2023-04-25,1,1054,971,1.6,11.6,5.5,0.9,17.3,0,1,4,25,0
2023-04-26,1,1007,911,2.04,11.9,4.8,1.3,8.7,0,2,4,26,0
2023-04-27,1,967,877,2.4,18.4,7.0,1.2,13.1,0,3,4,27,0
2023-04-28,1,996,907,1.89,21.0,13.1,5.8,18.4,0,4,4,28,0
2023-04-29,1,680,622,1.91,15.8,8.4,0.2,14.1,0,5,4,29,1
2023-04-30,1,718,627,1.67,17.2,7.7,0.0,13.4,0,6,4,30,1
2023-05-01,1,1001,882,2.15,15.9,9.5,3.7,19.0,1,0,5,1,0
2023-05-02,1,997,880,2.38,17.2,7.3,0.4,14.7,0,1,5,2,0
2023-05-03,1,1044,955,2.39,19.7,6.5,0.0,18.1,0,2,5,3,0
2023-05-04,1,1035,890,1.54,22.4,11.0,1.2,19.8,0,3,5,4,0
2023-05-05,1,1000,931,2.03,18.5,12.6,4.2,19.9,0,4,5,5,0
2023-05-06,1,718,635,2.35,20.1,11.5,4.5,12.6,0,5,5,6,1
2023-05-07,1,745,651,1.57,18.5,13.4,18.0,16.6,0,6,5,7,1
2023-05-08,1,1005,899,1.1,18.9,10.3,0.0,11.5,1,0,5,8,0
2023-05-09,1,959,854,3.14,16.9,12.6,17.0,22.6,0,1,5,9,0
2023-05-10,1,907,828,2.52,16.8,9.4,6.4,21.7,0,2,5,10,0
2023-05-11,1,979,866,2.29,16.4,8.9,6.1,13.8,0,3,5,11,0
2023-05-12,1,908,833,2.23,15.1,9.0,1.0,19.6,0,4,5,12,0
2023-05-13,1,681,611,1.87,20.3,10.2,12.2,21.3,0,5,5,13,1
2023-05-14,1,646,584,1.69,18.9,8.5,0.0,14.4,0,6,5,14,1
2023-05-15,1,963,857,2.35,16.0,8.1,4.8,19.9,0,0,5,15,0
2023-05-16,1,905,828,2.72,15.2,5.9,0.0,24.1,0,1,5,16,0
2023-05-17,1,1024,932,1.18,16.1,6.4,0.1,22.9,0,2,5,17,0
2023-05-18,1,984,882,2.2,17.1,6.8,0.0,19.2,1,3,5,18,0
2023-05-19,1,950,812,1.67,19.2,7.5,0.0,19.4,0,4,5,19,0
2023-05-20,1,692,623,1.99,20.0,12.0,0.2,20.7,0,5,5,20,1
2023-05-21,1,695,620,2.19,21.2,12.5,0.0,20.4,0,6,5,21,1
2023-05-22,1,873,792,2.59,21.4,11.7,0.0,19.1,0,0,5,22,0
2023-05-23,1,969,892,2.05,18.9,11.5,0.1,22.6,0,1,5,23,0
2023-05-24,1,1015,924,2.02,19.1,7.7,0.0,23.1,0,2,5,24,0
2023-05-25,1,1025,930,2.1,20.2,10.3,0.0,23.9,0,3,5,25,0
2023-05-26,1,1009,920,1.84,21.5,10.0,0.0,20.5,0,4,5,26,0
2023-05-27,1,669,608,2.34,23.7,11.5,0.0,16.3,0,5,5,27,1
2023-05-28,1,715,620,1.67,25.4,12.3,0.0,21.7,0,6,5,28,1
2023-05-29,1,1024,952,2.22,23.4,13.3,0.0,26.6,1,0,5,29,0
2023-05-30,1,1037,951,3.0,21.8,11.8,0.0,24.5,0,1,5,30,0
2023-05-31,1,997,897,1.38,25.5,11.9,0.0,23.0,0,2,5,31,0
2023-06-01,1,915,816,1.95,26.2,14.2,0.0,21.6,0,3,6,1,0
2023-06-02,1,807,721,1.7,20.2,9.8,0.0,21.9,0,4,6,2,0
2023-06-03,1,586,525,0.63,24.1,10.8,0.0,19.4,0,5,6,3,1
2023-06-04,1,658,599,1.56,25.3,13.4,0.0,20.2,0,6,6,4,1
2023-06-05,1,860,759,2.47,25.5,13.2,0.0,20.1,0,0,6,5,0
2023-06-06,1,908,832,1.31,25.6,12.5,0.0,17.7,0,1,6,6,0
2023-06-07,1,895,789,1.91,27.3,14.0,0.2,18.7,0,2,6,7,0
2023-06-08,1,923,854,2.68,27.3,14.5,0.0,17.5,0,3,6,8,0
2023-06-09,1,990,877,1.54,29.7,15.8,0.0,19.3,0,4,6,9,0
2023-06-10,1,616,565,2.24,27.6,17.9,0.5,14.3,0,5,6,10,1
2023-06-11,1,621,556,1.31,25.0,18.5,25.5,15.4,0,6,6,11,1
2023-06-12,1,748,662,2.26,26.3,16.7,1.0,16.8,0,0,6,12,0
2023-06-13,1,941,884,2.27,28.2,16.0,0.0,19.6,0,1,6,13,0
2023-06-14,1,841,785,2.45,28.2,13.7,0.0,13.4,0,2,6,14,0
2023-06-15,1,941,847,2.56,27.9,14.9,0.0,11.2,0,3,6,15,0
2023-06-16,1,838,747,1.59,29.3,14.4,0.0,11.8,0,4,6,16,0
2023-06-17,1,630,544,2.62,30.7,17.5,0.6,14.5,0,5,6,17,1
2023-06-18,1,682,616,2.29,30.0,18.9,2.8,21.8,0,6,6,18,1
2023-06-19,1,996,895,2.1,24.7,15.8,1.0,12.3,0,0,6,19,0
2023-06-20,1,822,728,1.26,26.9,17.9,1.7,22.2,0,1,6,20,0
2023-06-21,1,910,831,2.37,27.5,16.2,3.8,12.3,0,2,6,21,0
2023-06-22,1,807,697,2.78,23.7,17.6,19.4,21.9,0,3,6,22,0
2023-06-23,1,889,825,2.26,26.8,13.8,0.2,14.8,0,4,6,23,0
2023-06-24,1,642,558,1.71,27.8,15.1,0.0,10.5,0,5,6,24,1
2023-06-25,1,605,545,1.55,31.4,16.9,0.0,22.7,0,6,6,25,1
2023-06-26,1,925,835,2.22,23.3,15.7,0.0,19.3,0,0,6,26,0
2023-06-27,1,897,833,2.41,24.9,13.7,0.0,16.4,0,1,6,27,0
2023-06-28,1,938,822,2.18,25.5,15.4,0.8,11.0,0,2,6,28,0
2023-06-29,1,836,750,1.2,25.3,19.4,0.8,20.1,0,3,6,29,0
2023-06-30,1,871,773,1.99,24.6,15.6,0.4,23.6,0,4,6,30,0
2023-07-01,1,601,536,2.51,23.2,17.0,2.6,26.8,0,5,7,1,1
2023-07-02,1,609,544,2.07,23.5,14.0,0.0,20.6,0,6,7,2,1
2023-07-03,1,867,790,2.85,24.7,15.1,0.8,21.3,0,0,7,3,0
2023-07-04,1,831,735,1.84,22.4,12.6,4.0,24.5,0,1,7,4,0
2023-07-05,1,885,780,1.45,21.9,11.9,0.8,26.5,0,2,7,5,0
2023-07-06,1,864,764,2.3,25.8,12.5,0.1,11.5,0,3,7,6,0
2023-07-07,1,885,789,2.39,30.4,14.5,0.0,20.5,0,4,7,7,0
2023-07-08,1,673,605,2.45,32.8,20.1,0.4,14.9,0,5,7,8,1
2023-07-09,1,589,512,2.59,27.7,20.3,7.9,17.6,0,6,7,9,1
2023-07-10,1,887,778,1.41,29.0,16.8,0.0,13.5,0,0,7,10,0
2023-07-11,1,920,802,2.55,31.6,17.5,0.1,18.9,0,1,7,11,0
2023-07-12,1,926,805,1.62,25.0,17.3,3.6,17.3,0,2,7,12,0
2023-07-13,1,907,815,1.41,24.2,16.2,0.2,19.9,0,3,7,13,0
2023-07-14,1,911,826,2.33,30.6,15.0,0.4,25.7,1,4,7,14,0
2023-07-15,1,641,580,1.78,25.4,20.3,1.5,30.8,0,5,7,15,1
2023-07-16,1,601,539,1.58,25.0,15.6,0.0,26.4,0,6,7,16,1
2023-07-17,1,855,795,1.65,24.9,14.0,0.0,19.9,0,0,7,17,0
2023-07-18,1,922,824,1.58,28.7,14.0,0.0,13.5,0,1,7,18,0
2023-07-19,1,916,831,1.22,24.4,16.6,0.0,21.1,0,2,7,19,0
2023-07-20,1,861,741,1.26,25.7,13.8,0.0,14.5,0,3,7,20,0
2023-07-21,1,864,776,2.3,24.4,15.1,2.0,19.2,0,4,7,21,0
2023-07-22,1,629,570,1.06,25.6,13.1,0.0,23.3,0,5,7,22,1
2023-07-23,1,633,561,1.69,24.0,17.1,6.8,31.6,0,6,7,23,1
2023-07-24,1,929,825,2.24,23.3,17.2,14.1,26.0,0,0,7,24,0
2023-07-25,1,863,763,1.97,20.2,14.9,15.6,17.3,0,1,7,25,0
2023-07-26,1,848,758,1.52,23.2,12.1,0.2,17.4,0,2,7,26,0
2023-07-27,1,911,826,2.46,22.8,17.6,17.1,28.2,0,3,7,27,0
2023-07-28,1,927,865,2.55,24.1,17.9,7.9,17.3,0,4,7,28,0
2023-07-29,1,582,526,2.18,23.1,16.9,5.9,19.4,0,5,7,29,1
2023-07-30,1,631,555,2.5,22.6,14.5,0.1,22.3,0,6,7,30,1
2023-07-31,1,963,868,3.1,22.5,16.8,8.0,31.1,0,0,7,31,0
2023-08-01,1,895,805,2.06,21.7,15.7,2.4,30.1,0,1,8,1,0
2023-08-02,1,916,806,1.61,23.1,16.9,23.4,44.3,0,2,8,2,0
2023-08-03,1,874,811,2.48,18.7,16.0,5.5,32.2,0,3,8,3,0
2023-08-04,1,841,773,2.56,21.0,14.3,3.4,15.1,0,4,8,4,0
2023-08-05,1,602,548,1.84,19.2,12.7,6.4,30.7,0,5,8,5,1
2023-08-06,1,619,567,2.25,19.2,13.3,1.6,30.2,0,6,8,6,1
2023-08-07,1,822,740,2.12,21.4,12.2,0.3,16.1,0,0,8,7,0
2023-08-08,1,856,759,2.76,22.9,14.3,0.6,16.7,0,1,8,8,0
2023-08-09,1,902,800,2.07,23.1,16.3,0.0,15.4,0,2,8,9,0
2023-08-10,1,873,749,1.69,25.9,13.9,0.0,12.8,0,3,8,10,0
2023-08-11,1,913,820,1.32,27.3,17.3,3.3,14.9,0,4,8,11,0
2023-08-12,1,642,580,3.3,25.5,19.3,4.5,19.7,0,5,8,12,1
2023-08-13,1,553,492,1.59,23.1,16.0,0.0,16.4,0,6,8,13,1
2023-08-14,1,971,869,1.72,26.8,15.6,2.1,18.9,0,0,8,14,0
2023-08-15,1,757,686,1.24,23.9,16.5,0.7,11.9,1,1,8,15,0
2023-08-16,1,896,811,2.35,25.9,15.9,0.1,12.1,0,2,8,16,0
2023-08-17,1,823,733,3.24,27.5,17.0,0.8,13.4,0,3,8,17,0
2023-08-18,1,820,766,1.26,31.1,17.8,0.3,12.0,0,4,8,18,0
2023-08-19,1,608,574,1.78,26.8,20.0,7.0,14.5,0,5,8,19,1
2023-08-20,1,612,538,1.84,29.4,17.2,0.4,15.0,0,6,8,20,1
2023-08-21,1,927,817,1.56,27.3,16.5,0.0,11.7,0,0,8,21,0
2023-08-22,1,919,841,2.58,29.3,16.3,0.0,12.4,0,1,8,22,0
2023-08-23,1,915,826,1.69,30.7,17.6,0.0,12.4,0,2,8,23,0
2023-08-24,1,927,844,2.58,26.2,19.8,18.1,20.5,0,3,8,24,0
2023-08-25,1,921,836,1.07,22.8,17.6,23.2,17.9,0,4,8,25,0
2023-08-26,1,686,606,2.47,21.4,14.1,0.8,21.7,0,5,8,26,1
2023-08-27,1,686,620,1.32,21.1,12.5,1.1,19.9,0,6,8,27,1
2023-08-28,1,892,811,1.81,20.7,13.4,1.7,12.0,0,0,8,28,0
2023-08-29,1,867,784,2.28,20.6,11.3,1.0,12.2,0,1,8,29,0
2023-08-30,1,876,798,1.77,20.0,12.9,2.6,20.5,0,2,8,30,0
2023-08-31,1,894,785,2.87,19.0,12.6,16.2,21.7,0,3,8,31,0
2023-09-01,1,990,913,1.82,23.4,16.7,3.2,21.6,0,4,9,1,0
2023-09-02,1,585,537,2.65,27.8,15.5,1.6,15.5,0,5,9,2,1
2023-09-03,1,732,677,1.63,29.7,17.4,0.0,15.4,0,6,9,3,1
2023-09-04,1,993,909,1.75,29.2,17.0,0.0,18.7,0,0,9,4,0
2023-09-05,1,1016,926,1.3,32.1,17.8,0.0,10.5,0,1,9,5,0
2023-09-06,1,908,810,2.04,32.0,17.3,0.0,11.0,0,2,9,6,0
2023-09-07,1,1010,897,1.06,30.8,14.9,0.0,10.5,0,3,9,7,0
2023-09-08,1,928,836,2.06,34.0,18.8,0.0,9.7,0,4,9,8,0
2023-09-09,1,683,619,2.71,34.0,19.2,0.0,12.3,0,5,9,9,1
2023-09-10,1,675,605,2.02,33.8,20.1,0.0,12.1,0,6,9,10,1
2023-09-11,1,1091,1004,2.71,26.8,19.0,0.9,13.4,0,0,9,11,0
2023-09-12,1,987,874,2.51,20.6,16.9,20.8,9.7,0,1,9,12,0
2023-09-13,1,985,891,2.31,21.7,16.4,1.2,10.2,0,2,9,13,0
2023-09-14,1,1016,933,2.35,23.5,13.6,0.1,8.0,0,3,9,14,0
2023-09-15,1,1040,937,1.48,26.2,12.8,0.0,9.6,0,4,9,15,0
2023-09-16,1,704,629,2.77,24.4,13.3,0.0,10.0,0,5,9,16,1
2023-09-17,1,691,639,2.57,24.5,17.1,6.2,16.8,0,6,9,17,1
2023-09-18,1,1039,958,1.51,23.4,16.5,10.1,22.8,0,0,9,18,0
2023-09-19,1,992,880,2.82,21.3,13.1,0.0,26.6,0,1,9,19,0
2023-09-20,1,945,787,1.4,23.8,16.4,0.0,30.2,0,2,9,20,0
2023-09-21,1,984,891,1.31,20.8,14.1,18.1,24.8,0,3,9,21,0
2023-09-22,1,945,835,1.83,16.7,11.3,8.3,27.4,0,4,9,22,0
2023-09-23,1,780,709,2.18,17.3,10.5,0.2,13.4,0,5,9,23,1
2023-09-24,1,719,644,3.03,20.0,8.0,0.0,15.4,0,6,9,24,1
2023-09-25,1,971,869,2.1,22.9,9.3,0.0,9.8,0,0,9,25,0
2023-09-26,1,1034,938,2.69,23.9,12.9,0.0,8.9,0,1,9,26,0
2023-09-27,1,965,861,1.57,25.2,12.2,0.0,17.4,0,2,9,27,0
2023-09-28,1,980,882,0.92,21.8,15.7,0.0,17.2,0,3,9,28,0
2023-09-29,1,977,879,2.49,21.5,13.6,0.1,25.6,0,4,9,29,0
2023-09-30,1,721,656,1.98,22.0,10.0,0.0,8.8,0,5,9,30,1
2023-10-01,1,673,591,1.49,25.7,12.3,0.0,11.8,0,6,10,1,1
2023-10-02,1,938,807,2.17,27.2,13.2,0.0,17.4,0,0,10,2,0
2023-10-03,1,1000,911,2.61,22.0,12.6,6.6,25.6,0,1,10,3,0
2023-10-04,1,1023,918,2.18,19.0,9.4,0.0,9.8,0,2,10,4,0
2023-10-05,1,1056,935,1.65,19.2,9.2,0.0,7.8,0,3,10,5,0
2023-10-06,1,1022,900,1.86,21.5,8.4,0.0,8.5,0,4,10,6,0
2023-10-07,1,716,631,1.89,23.9,9.9,0.0,8.8,0,5,10,7,1
2023-10-08,1,708,626,2.17,25.7,10.6,0.0,11.4,0,6,10,8,1
2023-10-09,1,1012,922,2.17,24.6,11.0,0.0,10.0,0,0,10,9,0
2023-10-10,1,953,867,2.24,27.3,10.0,0.0,12.4,0,1,10,10,0
2023-10-11,1,1016,914,2.4,24.8,12.3,0.0,18.0,0,2,10,11,0
2023-10-12,1,1039,895,1.7,22.3,16.5,5.0,20.8,0,3,10,12,0
2023-10-13,1,1050,965,1.65,25.2,17.3,0.0,31.6,0,4,10,13,0
2023-10-14,1,657,589,2.01,18.8,10.9,1.1,31.9,0,5,10,14,1
2023-10-15,1,736,639,2.21,13.5,7.6,0.1,11.9,0,6,10,15,1
2023-10-16,1,944,847,0.74,13.4,4.3,0.0,21.1,0,0,10,16,0
2023-10-17,1,978,821,2.44,16.3,4.8,0.0,13.8,0,1,10,17,0
2023-10-18,1,970,882,2.66,19.2,12.0,7.8,27.4,0,2,10,18,0
2023-10-19,1,1013,929,1.64,21.2,14.7,5.8,26.6,0,3,10,19,0
2023-10-20,1,933,857,1.86,17.9,12.4,12.4,17.5,0,4,10,20,0
2023-10-21,1,698,625,1.39,15.3,11.0,7.0,41.4,0,5,10,21,1
2023-10-22,1,707,616,1.87,16.3,9.4,2.7,26.7,0,6,10,22,1
2023-10-23,1,955,829,2.03,12.0,8.0,5.7,16.2,0,0,10,23,0
2023-10-24,1,937,855,1.81,16.1,10.9,2.1,17.6,0,1,10,24,0
2023-10-25,1,907,809,1.62,15.0,11.5,12.6,27.3,0,2,10,25,0
2023-10-26,1,1026,918,2.59,15.9,11.1,15.0,19.1,0,3,10,26,0
2023-10-27,1,952,855,2.14,15.2,9.9,5.4,25.7,0,4,10,27,0
2023-10-28,1,711,632,1.97,15.1,10.2,8.6,34.3,0,5,10,28,1
2023-10-29,1,723,643,1.64,16.2,11.8,2.5,36.8,0,6,10,29,1
2023-10-30,1,982,868,1.6,13.1,9.7,8.6,17.3,0,0,10,30,0
2023-10-31,1,1003,905,1.59,15.0,8.2,0.3,22.2,0,1,10,31,0
2023-11-01,1,1261,1163,1.9,13.8,11.3,2.2,27.0,1,2,11,1,0
2023-11-02,1,1285,1147,1.3,14.0,9.4,3.5,47.3,0,3,11,2,0
2023-11-03,1,1259,1111,2.03,10.8,5.8,0.3,24.0,0,4,11,3,0
2023-11-04,1,947,853,1.91,14.2,7.6,12.3,34.7,0,5,11,4,1
2023-11-05,1,834,759,1.62,13.6,10.1,1.8,34.6,0,6,11,5,1
2023-11-06,1,1194,1072,1.81,13.2,7.9,1.1,28.6,0,0,11,6,0
2023-11-07,1,1215,1057,0.72,12.4,6.6,0.9,23.2,0,1,11,7,0
2023-11-08,1,1243,1105,2.3,12.5,6.5,4.0,32.1,0,2,11,8,0
2023-11-09,1,1292,1188,1.57,12.3,8.6,9.3,28.7,0,3,11,9,0
2023-11-10,1,1405,1276,2.42,11.6,6.6,0.4,35.3,0,4,11,10,0
2023-11-11,1,936,849,1.91,11.9,5.5,0.5,18.0,1,5,11,11,1
2023-11-12,1,881,787,2.45,13.7,6.2,10.0,22.3,0,6,11,12,1
2023-11-13,1,1351,1228,1.4,17.2,11.9,8.3,31.7,0,0,11,13,0
2023-11-14,1,1246,1171,2.91,13.7,10.5,2.0,29.4,0,1,11,14,0
2023-11-15,1,1332,1167,1.37,12.7,8.6,1.4,24.8,0,2,11,15,0
