date,centre_id,nb_colis_entree,nb_colis_sortie,volume_moyen
2023-10-13,1,1050,965,1.65
2023-10-14,1,657,589,2.01
2023-10-15,1,736,639,2.21
2023-10-16,1,944,847,0.74
2023-10-17,1,978,821,2.44
2023-10-18,1,970,882,2.66
2023-10-19,1,1013,929,1.64
2023-10-20,1,933,857,1.86
2023-10-21,1,698,625,1.39
2023-10-22,1,707,616,1.87
2023-10-23,1,955,829,2.03
2023-10-24,1,937,855,1.81
2023-10-25,1,907,809,1.62
2023-10-26,1,1026,918,2.59
2023-10-27,1,952,855,2.14
2023-10-28,1,711,632,1.97
2023-10-29,1,723,643,1.64
2023-10-30,1,982,868,1.6
2023-10-31,1,1003,905,1.59
2023-11-01,1,1261,1163,1.9
2023-11-02,1,1285,1147,1.3
2023-11-03,1,1259,1111,2.03
2023-11-04,1,947,853,1.91
2023-11-05,1,834,759,1.62
2023-11-06,1,1194,1072,1.81
2023-11-07,1,1215,1057,0.72
2023-11-08,1,1243,1105,2.3
2023-11-09,1,1292,1188,1.57
2023-11-10,1,1405,1276,2.42
2023-11-11,1,936,849,1.91
2023-11-12,1,881,787,2.45
2023-11-13,1,1351,1228,1.4
2023-11-14,1,1246,1171,2.91
2023-11-15,1,1332,1167,1.37
2023-11-16,1,1216,1102,0.47
2023-11-17,1,1304,1188,1.9
2023-11-18,1,886,750,1.92
2023-11-19,1,796,736,1.27
2023-11-20,1,1335,1234,2.47
2023-11-21,1,1373,1253,2.35
2023-11-22,1,1355,1217,1.96
2023-11-23,1,1250,1106,1.69
2023-11-24,1,1373,1277,1.17
2023-11-25,1,944,836,1.86
2023-11-26,1,947,848,1.81
2023-11-27,1,1320,1186,2.03
2023-11-28,1,1244,1120,2.16
2023-11-29,1,1348,1201,2.44
2023-11-30,1,1184,1037,1.8
2023-12-01,1,1253,1110,1.3
2023-12-02,1,837,730,2.45
2023-12-03,1,936,840,2.1
2023-12-04,1,1368,1240,2.23
2023-12-05,1,1271,1158,2.14
2023-12-06,1,1192,1086,2.79
2023-12-07,1,1183,1068,1.9
2023-12-08,1,1369,1191,1.3
2023-12-09,1,943,819,1.51
2023-12-10,1,909,823,2.22
2023-12-11,1,1171,1082,1.41
2023-12-12,1,1203,1119,1.63
2023-12-13,1,1314,1211,1.76
2023-12-14,1,1362,1226,2.32
2023-12-15,1,1263,1133,1.65
2023-12-16,1,974,871,2.27
2023-12-17,1,986,879,2.05
2023-12-18,1,1305,1167,0.94
2023-12-19,1,1322,1228,1.77
2023-12-20,1,1153,1035,2.5
2023-12-21,1,1337,1241,2.29
2023-12-22,1,1322,1166,1.83
2023-12-23,1,948,853,1.63
2023-12-24,1,820,718,1.88
2023-12-25,1,1287,1156,2.67
2023-12-26,1,1364,1269,2.12
2023-12-27,1,1273,1168,1.79
2023-12-28,1,1237,1107,1.68
2023-12-29,1,1392,1241,1.28
2023-12-30,1,842,784,3.18
2023-12-31,1,880,799,2.4
2024-01-01,1,1017,929,2.76
2024-01-02,1,937,826,2.19
2024-01-03,1,1054,923,2.16
2024-01-04,1,993,859,2.13
2024-01-05,1,1107,977,2.46
2024-01-06,1,703,624,2.65
2024-01-07,1,677,608,2.31
2024-01-08,1,1127,999,3.0
2024-01-09,1,1069,984,1.89
2024-01-10,1,1066,933,2.09
2024-01-11,1,1056,942,1.99
2024-01-12,1,956,874,1.97
2024-01-13,1,673,592,1.68
2024-01-14,1,686,615,2.59
2024-01-15,1,996,901,2.13
2024-01-16,1,952,875,1.53
2024-01-17,1,1023,928,0.94
2024-01-18,1,962,869,2.15
2024-01-19,1,1006,898,2.42
2024-01-20,1,687,606,2.13
2024-01-21,1,694,650,1.74
2024-01-22,1,986,864,1.05
2024-01-23,1,984,868,1.96
2024-01-24,1,1070,961,2.13
2024-01-25,1,1020,884,2.21
2024-01-26,1,1043,923,1.29
2024-01-27,1,725,636,2.3
2024-01-28,1,715,636,2.28
2024-01-29,1,971,885,2.99
2024-01-30,1,1071,957,1.49
2024-01-31,1,1043,949,1.54
2024-02-01,1,1020,927,1.12
2024-02-02,1,983,857,1.57
2024-02-03,1,738,656,2.07
2024-02-04,1,695,601,1.69
2024-02-05,1,934,826,2.34
2024-02-06,1,990,867,1.72
2024-02-07,1,953,858,1.54
2024-02-08,1,968,851,2.28
2024-02-09,1,994,915,1.61
2024-02-10,1,717,598,1.12
2024-02-11,1,649,583,2.85
2024-02-12,1,963,832,1.4
2024-02-13,1,1052,943,2.77
2024-02-14,1,1069,962,2.2
2024-02-15,1,981,891,0.98
2024-02-16,1,1076,1010,1.87
2024-02-17,1,673,603,1.6
2024-02-18,1,679,618,2.68
2024-02-19,1,941,826,1.63
2024-02-20,1,994,887,1.11
2024-02-21,1,984,888,1.72
2024-02-22,1,1087,1006,1.82
2024-02-23,1,1015,939,2.37
2024-02-24,1,703,641,1.83
2024-02-25,1,707,656,2.08
2024-02-26,1,953,879,3.08
2024-02-27,1,967,876,2.43
2024-02-28,1,988,911,1.54
2024-02-29,1,983,889,2.66
2024-03-01,1,1078,936,1.93
2024-03-02,1,754,692,1.46
2024-03-03,1,660,602,2.36
2024-03-04,1,1001,910,1.31
2024-03-05,1,1028,903,0.96
2024-03-06,1,979,830,2.18
2024-03-07,1,952,892,2.39
2024-03-08,1,954,855,1.87
2024-03-09,1,684,652,2.37
2024-03-10,1,686,603,1.83
2024-03-11,1,978,866,2.25
2024-03-12,1,1032,946,1.9
2024-03-13,1,911,778,1.83
2024-03-14,1,930,854,1.75
2024-03-15,1,961,882,1.94
2024-03-16,1,634,543,2.6
2024-03-17,1,695,612,2.76
2024-03-18,1,997,868,2.43
2024-03-19,1,1071,962,2.61
2024-03-20,1,967,887,2.76
2024-03-21,1,1036,968,2.08
2024-03-22,1,972,873,2.47
2024-03-23,1,666,597,1.99
2024-03-24,1,662,600,1.64
2024-03-25,1,995,895,1.15
2024-03-26,1,991,877,1.71
2024-03-27,1,981,899,2.39
2024-03-28,1,949,854,2.11
2024-03-29,1,958,868,3.05
2024-03-30,1,697,642,2.76
2024-03-31,1,687,612,0.96
2024-04-01,1,946,850,1.1
2024-04-02,1,955,848,2.28
2024-04-03,1,855,776,1.66
2024-04-04,1,1004,877,2.16
2024-04-05,1,921,835,3.32
2024-04-06,1,649,569,1.64
2024-04-07,1,674,604,2.32
2024-04-08,1,996,897,0.88
2024-04-09,1,948,836,2.18
2024-04-10,1,1050,918,1.86
2024-04-11,1,989,892,3.2
2024-04-12,1,1020,926,2.55
2024-04-13,1,674,634,1.49
2024-04-14,1,665,624,3.12
2024-04-15,1,919,808,1.86
2024-04-16,1,1024,915,1.18
2024-04-17,1,1023,914,1.75
2024-04-18,1,1021,917,2.35
2024-04-19,1,939,844,1.95
2024-04-20,1,703,631,2.59
2024-04-21,1,727,675,2.55
2024-04-22,1,946,857,1.7
2024-04-23,1,917,834,2.86
2024-04-24,1,955,848,1.41
2024-04-25,1,980,896,1.46
2024-04-26,1,1014,900,1.71
2024-04-27,1,711,606,1.96
2024-04-28,1,727,658,1.68
2024-04-29,1,992,912,1.19
2024-04-30,1,1004,915,1.55
2024-05-01,1,946,861,1.6
2024-05-02,1,933,838,1.61
2024-05-03,1,993,906,1.91
2024-05-04,1,768,677,1.56
2024-05-05,1,626,570,2.99
2024-05-06,1,986,892,2.54
2024-05-07,1,974,869,2.45
2024-05-08,1,942,855,1.59
2024-05-09,1,950,840,1.32
2024-05-10,1,1055,967,1.84
2024-05-11,1,679,600,2.0
2024-05-12,1,661,598,1.87
2024-05-13,1,900,814,1.63
2024-05-14,1,1020,943,1.23
2024-05-15,1,985,878,2.49
2024-05-16,1,894,792,2.63
2024-05-17,1,1021,945,2.4
2024-05-18,1,684,616,1.84
2024-05-19,1,742,691,1.95
2024-05-20,1,988,874,1.11
2024-05-21,1,995,903,2.21
2024-05-22,1,1054,943,2.44
2024-05-23,1,1023,968,1.88
2024-05-24,1,985,872,2.26
2024-05-25,1,684,613,2.43
2024-05-26,1,637,584,2.07
2024-05-27,1,919,800,2.07
2024-05-28,1,936,859,1.61
2024-05-29,1,965,901,2.69
2024-05-30,1,1040,935,1.71
2024-05-31,1,1027,925,2.65
2024-06-01,1,613,577,2.44
2024-06-02,1,583,535,1.86
2024-06-03,1,829,723,1.99
2024-06-04,1,849,755,1.78
2024-06-05,1,791,706,2.23
2024-06-06,1,876,791,2.06
2024-06-07,1,895,789,2.04
2024-06-08,1,632,559,1.76
2024-06-09,1,612,545,2.86
2024-06-10,1,895,795,2.2
2024-06-11,1,847,786,3.4
2024-06-12,1,873,766,2.09
2024-06-13,1,840,758,2.47
2024-06-14,1,886,796,2.13
2024-06-15,1,666,600,1.98
2024-06-16,1,666,589,2.37
2024-06-17,1,913,827,2.07
2024-06-18,1,953,873,1.75
2024-06-19,1,932,865,2.26
2024-06-20,1,897,808,2.05
2024-06-21,1,941,862,2.14
2024-06-22,1,613,548,2.23
2024-06-23,1,621,574,1.25
2024-06-24,1,866,777,2.73
2024-06-25,1,856,805,2.43
2024-06-26,1,849,742,1.97
2024-06-27,1,925,830,2.63
2024-06-28,1,900,815,2.36
2024-06-29,1,636,562,1.52
2024-06-30,1,600,562,2.03
2024-07-01,1,889,790,2.21
2024-07-02,1,993,902,1.43
2024-07-03,1,898,816,2.1
2024-07-04,1,880,791,2.02
2024-07-05,1,833,735,2.21
2024-07-06,1,620,554,2.65
2024-07-07,1,624,531,1.79
2024-07-08,1,843,759,1.43
2024-07-09,1,953,817,2.13
2024-07-10,1,831,765,1.98
2024-07-11,1,951,856,1.6
2024-07-12,1,891,835,2.03
2024-07-13,1,648,599,1.95
2024-07-14,1,573,525,2.29
2024-07-15,1,910,832,2.13
2024-07-16,1,923,840,1.36
2024-07-17,1,821,746,2.95
2024-07-18,1,858,784,2.36
2024-07-19,1,926,846,2.15
2024-07-20,1,600,522,2.3
2024-07-21,1,625,553,2.7
2024-07-22,1,871,800,2.4
2024-07-23,1,940,840,1.99
2024-07-24,1,848,781,2.37
2024-07-25,1,852,762,1.37
2024-07-26,1,877,779,1.94
2024-07-27,1,638,605,2.11
2024-07-28,1,596,542,2.2
2024-07-29,1,881,807,1.16
2024-07-30,1,900,806,2.44
2024-07-31,1,959,854,1.66
2024-08-01,1,858,765,1.8
2024-08-02,1,926,816,2.64
2024-08-03,1,626,560,1.81
2024-08-04,1,656,614,2.23
2024-08-05,1,974,873,1.43
2024-08-06,1,848,762,2.1
2024-08-07,1,853,755,1.93
2024-08-08,1,885,816,2.28
2024-08-09,1,873,808,1.03
2024-08-10,1,647,594,2.08
2024-08-11,1,616,554,1.89
2024-08-12,1,901,795,1.91
2024-08-13,1,937,798,2.4
2024-08-14,1,915,847,1.96
2024-08-15,1,888,809,1.65
2024-08-16,1,856,771,1.43
2024-08-17,1,624,588,2.07
2024-08-18,1,594,539,1.93
2024-08-19,1,854,767,2.43
2024-08-20,1,981,878,1.94
2024-08-21,1,884,770,1.48
2024-08-22,1,931,853,2.18
2024-08-23,1,889,804,2.41
2024-08-24,1,651,589,2.26
2024-08-25,1,663,578,2.05
2024-08-26,1,889,808,0.94
2024-08-27,1,887,804,2.66
2024-08-28,1,885,802,1.37
2024-08-29,1,852,750,1.43
2024-08-30,1,885,793,2.57
2024-08-31,1,596,529,2.77
2024-09-01,1,703,651,1.73
2024-09-02,1,932,821,1.18
2024-09-03,1,1052,950,2.8
2024-09-04,1,1067,988,1.68
2024-09-05,1,996,897,2.04
2024-09-06,1,1000,934,1.46
2024-09-07,1,739,662,1.59
2024-09-08,1,645,580,2.01
2024-09-09,1,1002,883,1.59
2024-09-10,1,1031,896,1.86
2024-09-11,1,1049,930,1.66
2024-09-12,1,1031,897,1.55
2024-09-13,1,1108,997,1.64
2024-09-14,1,688,632,1.69
2024-09-15,1,745,687,1.83
2024-09-16,1,971,879,2.56
2024-09-17,1,1018,939,2.43
2024-09-18,1,1062,947,2.36
2024-09-19,1,1009,958,2.83
2024-09-20,1,962,854,2.69
2024-09-21,1,640,585,2.83
2024-09-22,1,572,518,2.54
2024-09-23,1,987,879,2.54
2024-09-24,1,916,848,1.68
2024-09-25,1,931,809,2.0
2024-09-26,1,989,866,2.36
2024-09-27,1,926,874,2.25
2024-09-28,1,649,579,2.48
2024-09-29,1,726,651,1.79
2024-09-30,1,946,849,2.3
2024-10-01,1,965,872,1.71
2024-10-02,1,991,870,2.26
2024-10-03,1,968,853,1.95
2024-10-04,1,964,858,2.24
2024-10-05,1,690,627,2.19
2024-10-06,1,627,549,1.96
2024-10-07,1,945,855,1.91
2024-10-08,1,971,871,2.49
2024-10-09,1,962,850,1.86
2024-10-10,1,1010,910,2.16
2024-10-11,1,986,917,1.57
2024-10-12,1,695,601,1.72
2024-10-13,1,674,591,1.62
2024-10-14,1,890,794,2.13
2024-10-15,1,1007,917,1.72
2024-10-16,1,1108,987,2.08
2024-10-17,1,997,898,2.01
2024-10-18,1,1077,967,1.14
2024-10-19,1,716,645,1.74
2024-10-20,1,666,604,2.2
2024-10-21,1,1137,1047,3.11
2024-10-22,1,893,814,1.75
2024-10-23,1,954,853,2.24
2024-10-24,1,914,827,2.58
2024-10-25,1,963,874,2.11
2024-10-26,1,686,610,1.88
2024-10-27,1,658,609,2.54
2024-10-28,1,1016,876,1.45
2024-10-29,1,959,883,2.36
2024-10-30,1,973,908,2.0
2024-10-31,1,971,870,1.67
2024-11-01,1,1233,1117,2.03
2024-11-02,1,826,744,2.17
2024-11-03,1,881,810,1.6
2024-11-04,1,1261,1144,2.53
2024-11-05,1,1213,1082,1.59
2024-11-06,1,1176,1076,2.27
2024-11-07,1,1297,1144,2.41
2024-11-08,1,1214,1047,1.45
2024-11-09,1,897,810,2.91
2024-11-10,1,892,812,1.68
2024-11-11,1,1308,1147,2.37
2024-11-12,1,1308,1160,2.79
2024-11-13,1,1344,1199,1.77
2024-11-14,1,1272,1150,2.23
2024-11-15,1,1326,1243,1.73
2024-11-16,1,927,780,2.12
2024-11-17,1,952,887,2.08
2024-11-18,1,1352,1215,2.55
2024-11-19,1,1300,1182,1.62
2024-11-20,1,1204,1065,1.89
2024-11-21,1,1217,1099,2.99
2024-11-22,1,1299,1195,2.64
2024-11-23,1,887,807,2.73
2024-11-24,1,924,786,1.83
2024-11-25,1,1216,1081,2.84
2024-11-26,1,1266,1155,1.59
2024-11-27,1,1429,1296,2.83
2024-11-28,1,1371,1252,1.75
2024-11-29,1,1326,1253,1.57
2024-11-30,1,925,837,2.11
2024-12-01,1,885,797,2.72
2024-12-02,1,1348,1264,1.91
2024-12-03,1,1308,1218,2.26
2024-12-04,1,1159,1034,0.82
2024-12-05,1,1250,1140,2.46
2024-12-06,1,1202,1070,1.39
2024-12-07,1,867,789,2.16
2024-12-08,1,1003,884,1.9
2024-12-09,1,1249,1092,1.6
2024-12-10,1,1250,1132,2.64
2024-12-11,1,1256,1135,1.75
2024-12-12,1,1348,1172,1.85
2024-12-13,1,1264,1136,1.87
2024-12-14,1,966,882,2.19
2024-12-15,1,913,843,2.27
2024-12-16,1,1277,1180,2.46
2024-12-17,1,1290,1181,2.49
2024-12-18,1,1323,1197,1.06
2024-12-19,1,1311,1201,2.1
2024-12-20,1,1291,1127,1.88
2024-12-21,1,901,800,1.02
2024-12-22,1,950,872,2.38
2024-12-23,1,1236,1055,1.93
2024-12-24,1,1251,1120,1.18
2024-12-25,1,1404,1269,1.5
2024-12-26,1,1298,1223,2.35
2024-12-27,1,1308,1162,2.07
2024-12-28,1,929,804,1.93
2024-12-29,1,896,809,1.53
2024-12-30,1,1412,1286,1.54
2024-12-31,1,1450,1315,1.82
2023-01-01,2,758,688,2.55
2023-01-02,2,1020,891,1.87
2023-01-03,2,1125,995,2.3
2023-01-04,2,1117,1004,0.92
2023-01-05,2,984,899,2.45
2023-01-06,2,1181,1061,2.52
2023-01-07,2,749,676,1.98
2023-01-08,2,764,660,1.25
2023-01-09,2,1035,872,1.63
2023-01-10,2,1080,974,1.9
2023-01-11,2,1057,918,2.53
2023-01-12,2,1080,971,2.43
2023-01-13,2,1144,1014,2.1
2023-01-14,2,739,660,2.41
2023-01-15,2,732,646,2.46
2023-01-16,2,1069,958,2.19
2023-01-17,2,1081,985,1.42
2023-01-18,2,1064,941,1.85
2023-01-19,2,1046,960,2.61
2023-01-20,2,1044,925,2.25
2023-01-21,2,739,666,2.53
2023-01-22,2,734,634,1.99
2023-01-23,2,1066,976,1.41
2023-01-24,2,1052,925,2.18
2023-01-25,2,1108,986,1.86
2023-01-26,2,1107,1023,2.08
2023-01-27,2,1034,940,1.7
2023-01-28,2,701,636,2.22
2023-01-29,2,747,704,2.2
2023-01-30,2,1113,1028,2.32
2023-01-31,2,1044,920,1.6
2023-02-01,2,1141,1029,1.68
2023-02-02,2,1057,915,1.17
2023-02-03,2,1148,1061,2.09
2023-02-04,2,831,754,1.77
2023-02-05,2,719,653,2.63
2023-02-06,2,1042,915,0.99
2023-02-07,2,1132,1000,1.86
2023-02-08,2,1030,925,1.91
2023-02-09,2,1085,991,2.17
2023-02-10,2,1041,946,1.4
2023-02-11,2,733,665,1.84
2023-02-12,2,765,704,2.3
2023-02-13,2,1095,974,1.41
2023-02-14,2,1089,1004,2.58
2023-02-15,2,1196,1063,2.25
2023-02-16,2,1082,974,1.16
2023-02-17,2,1072,986,2.23
2023-02-18,2,762,683,2.02
2023-02-19,2,726,660,1.6
2023-02-20,2,1064,959,1.88
2023-02-21,2,1042,911,2.54
2023-02-22,2,962,858,2.44
2023-02-23,2,1078,952,2.14
2023-02-24,2,1127,982,2.01
2023-02-25,2,749,675,1.73
2023-02-26,2,741,667,1.69
2023-02-27,2,1105,984,1.93
2023-02-28,2,1160,1032,2.11
2023-03-01,2,1155,1043,0.91
2023-03-02,2,1051,902,1.72
2023-03-03,2,1206,1054,1.86
2023-03-04,2,699,629,2.45
2023-03-05,2,763,659,1.8
2023-03-06,2,980,862,2.2
2023-03-07,2,1119,982,2.08
2023-03-08,2,1103,1005,2.1
